feature,supported,evidence,limitation,recommendation
nearest crossing distance,fully supported,26509 pedestrian crossing points in traffic layer.,Needs GIS engine for production distance calculations; current Python lacks GeoPandas/GDAL.,Prototype in QGIS or install/use GeoPandas/PostGIS for metric distances.
crossing within 150 m,fully supported,Crossing points and generator geometries are available.,"Distances must be computed in projected CRS, not raw lon/lat degrees.",Use Israel TM Grid / EPSG:2039 or local UTM projection for buffers.
major road proximity,fully supported,73378 major road segments by fclass.,Road class comes from OSM highway tag; traffic volume is not available.,"Use highway class as infrastructure proxy, not traffic-volume proof."
traffic signal near crossing,fully supported,10419 traffic signal points; PBF also keeps crossing=traffic_signals where mapped.,Signal/crossing association must be spatially inferred unless tags directly indicate it.,Flag crossings within 25-35 m of signal nodes and compare with PBF crossing tags.
traffic calming nearby,partially supported,Geofabrik traffic layer has a calming field; raw PBF has exact traffic_calming tags.,Traffic calming mapping is incomplete and inconsistent.,Use as positive evidence when present; separate missing-data flag when absent.
sidewalk availability,weakly supported,Free shapefile omits sidewalk fields; raw PBF contains sidewalk tags when mapped.,sidewalk NULL must not be interpreted as no sidewalk.,Use PBF-derived sidewalk fields as optional data quality/risk flags.
lighting availability,partially supported,Traffic layer includes street_lamp points; raw PBF contains lit=* tags where mapped.,lit NULL or missing lamp nodes does not prove no lighting.,Use lit=no as a risk indicator; use missing lit as data quality flag.
school zone analysis,partially supported,5469 schools and 2072 kindergartens in POI layers.,"No official school catchments, entrance points, sidewalks, or traffic volumes in current files.",Start with generator centroid/point and nearest crossing/major road flags.
bus stop crossing access,fully supported,30990 bus stops and crossing points available.,"Routes, stop direction, boarding side, and official GTFS are not present.",Use bus stop point to nearest crossing/major road as MVP flag.
Kfar Saba pilot,partially supported,"Found כפר סבא in gis_osm_places_a_free_1 with bbox 34.8850655,32.1596031,34.9439559,32.2009609.",Pilot counts use bbox estimate unless an exact municipal boundary is extracted/verified.,Use Kfar Saba bbox for v0.1 exploration; add exact boundary before publishing results.
nationwide analysis,partially supported,Whole Israel/Palestine extract is present as shapefile ZIP and raw PBF.,Nationwide run needs PostGIS/GeoParquet pipeline and stronger QA; OSM completeness varies by city.,Do not start nationwide scoring until the Kfar Saba pilot rules are validated.
